Family,Control ID,Control Name,Doc Type,Priority,Doc Status,Owner,Target Date,Evidence Location,Review Status,Last Updated,Notes
AC,AC-1,Policy and Procedures,Policy,High,In Progress,,,,Pending,,"Core policy document, required for all systems"
AC,AC-1,Policy and Procedures,Procedure,High,Not Started,,,,Pending,,Implements policy requirements
AC,AC-2,Account Management,Report,High,Not Started,,,,Pending,,"List all accounts, types, and authorization status"
AC,AC-2,Account Management,Record,High,Not Started,,,,Pending,,Tracks account changes over time
AC,AC-2,Account Management,Procedure,High,Not Started,,,,Pending,,Standard procedures for account lifecycle
AC,AC-3,Access Enforcement,Report,High,Not Started,,,,Pending,,Maps users/roles to system resources
AC,AC-5,Separation of Duties,Template,Medium,Not Started,,,,Pending,,Documents role conflicts and mitigations
AC,AC-6,Least Privilege,Report,High,Not Started,,,,Pending,,Lists privileged accounts and business need
AC,AC-17,Remote Access,Procedure,High,Not Started,,,,Pending,,"VPN, telework, remote management rules"
AC,AC-17,Remote Access,Record,Medium,Not Started,,,,Pending,,Track remote sessions for compliance
AC,AC-20,External Systems,Template,High,Not Started,,,,Pending,,Standard interconnection agreement
AC,AC-22,Publicly Accessible Content,Procedure,Low,Not Started,,,,Pending,,Procedures for reviewing public-facing content
AT,AT-1,Policy and Procedures,Policy,High,Not Started,,,,Pending,,Defines training requirements and responsibilities
AT,AT-2,Literacy Training,Record,High,Not Started,,,,Pending,,Track who completed training and when
AT,AT-2,Literacy Training,Report,High,Not Started,,,,Pending,,Shows training status across organization
AT,AT-3,Role-Based Training,Record,High,Not Started,,,,Pending,,"Track specialized training (ISSO, admin, etc.)"
AT,AT-3,Role-Based Training,Template,Medium,Not Started,,,,Pending,,Maps roles to required training
AT,AT-4,Training Records,Report,High,Not Started,,,,Pending,,Exportable training transcripts
AT,AT-4,Training Records,Evidence,High,Not Started,,,,Pending,,Assessment-ready training evidence
AU,AU-1,Policy and Procedures,Policy,High,Not Started,,,,Pending,,Defines audit requirements and retention
AU,AU-2,Event Logging,Template,High,Not Started,,,,Pending,,Lists events to be logged per system type
AU,AU-3,Content of Audit Records,Template,Medium,Not Started,,,,Pending,,Defines required fields in audit records
AU,AU-6,Audit Record Review,Record,High,Not Started,,,,Pending,,Track when audit logs were reviewed
AU,AU-6,Audit Record Review,Report,Medium,Not Started,,,,Pending,,Automated log analysis summaries
AU,AU-7,Audit Record Reduction,Procedure,Medium,Not Started,,,,Pending,,Standard formats for log analysis reports
AU,AU-11,Audit Record Retention,Record,Medium,Not Started,,,,Pending,,"Track retention compliance, alert before deletion"
CA,CA-1,Policy and Procedures,Policy,High,Not Started,,,,Pending,,A&A program policy
CA,CA-2,Control Assessments,Report,Critical,Not Started,,,,Pending,,Generate SAP from selected controls
CA,CA-2,Control Assessments,Report,Critical,Not Started,,,,Pending,,Populate SAR from STP results
CA,CA-2,Control Assessments,Record,High,Not Started,,,,Pending,,Track assessment progress per control
CA,CA-3,Information Exchange,Template,High,Not Started,,,,Pending,,Standard ISA format
CA,CA-3,Information Exchange,Report,Medium,Not Started,,,,Pending,,List all system interconnections
CA,CA-5,Plan of Action and Milestones,Plan,Critical,Not Started,,,,Pending,,Core Bedrock functionality
CA,CA-5,Plan of Action and Milestones,Plan,Critical,Not Started,,,,Pending,,Track remediation progress
CA,CA-5,Plan of Action and Milestones,Plan,High,Not Started,,,,Pending,,Executive POA&M status report
